code_n, n_tries,          qber,        f_mean,  c_iters_mean,  n_iters_mean,             R,       s_n,       p_n,   p_n_max,           k_n,   discl_n,           FER 
4000,        20,        0.0010,    5.22442820,    4.40000000,   17.20000000,    0.90000000,         0,       359,       192,          3641,        40,    0.00000000
4000,        20,        0.0020,    2.87534618,    3.60000000,   17.60000000,    0.90000000,         0,       324,       192,          3676,        40,    0.00000000
4000,        20,        0.0310,    1.19186938,    3.20000000,   16.00000000,    0.80000000,         0,         4,       373,          3996,        48,    0.00000000
4000,        20,        0.0030,    2.04058909,    2.85000000,   17.15000000,    0.90000000,         0,       291,       192,          3709,        40,    0.00000000
4000,        20,        0.0910,    1.12003407,    3.05000000,   34.05000000,    0.55000000,         0,        73,       817,          3927,        68,    0.00000000
4000,        20,        0.0610,    1.14164617,    3.05000000,   26.50000000,    0.65000000,         0,       112,       630,          3888,        60,    0.00000000
4000,        20,        0.1210,    1.10433662,    2.90000000,   35.50000000,    0.50000000,       242,         0,       864,          3758,        72,    0.00000000
4000,        20,        0.0040,    1.74830607,    2.65000000,   16.20000000,    0.90000000,         0,       260,       192,          3740,        40,    0.00000000
4000,        20,        0.0320,    1.19779726,    3.30000000,   15.70000000,    0.80000000,        84,         0,       373,          3916,        48,    0.00000000
4000,        20,        0.0050,    1.58240039,    2.50000000,   16.70000000,    0.90000000,         0,       229,       192,          3771,        40,    0.00000000
4000,        20,        0.0330,    1.17991282,    3.00000000,   18.05000000,    0.80000000,       176,         0,       373,          3824,        48,    0.00000000
4000,        20,        0.0920,    1.11056091,    2.85000000,   36.75000000,    0.55000000,         0,        50,       817,          3950,        68,    0.00000000
4000,        20,        0.0060,    1.47665527,    2.40000000,   15.05000000,    0.90000000,         0,       199,       192,          3801,        40,    0.00000000
4000,        20,        0.0620,    1.12543794,    2.75000000,   31.20000000,    0.65000000,         0,        89,       630,          3911,        60,    0.00000000
4000,        20,        0.1220,    1.12052224,    3.35000000,   38.10000000,    0.50000000,       262,         0,       864,          3738,        72,    0.00000000
4000,        20,        0.0070,    1.42323768,    2.45000000,    8.40000000,    0.90000000,         0,       170,       192,          3830,        40,    0.00000000
4000,        20,        0.0080,    1.36850090,    2.40000000,    7.70000000,    0.90000000,         0,       141,       192,          3859,        40,    0.00000000
4000,        20,        0.0340,    1.17169152,    2.70000000,   23.25000000,    0.75000000,         0,       183,       468,          3817,        52,    0.00000000
4000,        20,        0.0930,    1.11115294,    2.90000000,   41.45000000,    0.55000000,         0,        26,       817,          3974,        68,    0.00000000
4000,        20,        0.0630,    1.12545454,    2.80000000,   30.65000000,    0.65000000,         0,        66,       630,          3934,        60,    0.00000000
4000,        20,        0.0090,    1.40250684,    2.90000000,    7.35000000,    0.90000000,         0,       112,       192,          3888,        40,    0.00000000
4000,        20,        0.1230,    1.11310141,    3.15000000,   39.70000000,    0.50000000,       281,         0,       864,          3719,        72,    0.00000000
4000,        20,        0.0100,    1.28324295,    2.25000000,    8.70000000,    0.90000000,         0,        84,       192,          3916,        40,    0.00000000
4000,        20,        0.0350,    1.16646177,    2.70000000,   26.15000000,    0.75000000,         0,       160,       468,          3840,        52,    0.00000000
4000,        20,        0.0110,    1.27715414,    2.40000000,    6.40000000,    0.90000000,         0,        56,       192,          3944,        40,    0.00000000
4000,        20,        0.0940,    1.10761231,    2.85000000,   33.30000000,    0.55000000,         0,         3,       817,          3997,        68,    0.00000000
4000,        20,        0.0120,    1.24031555,    2.25000000,    8.85000000,    0.90000000,         0,        28,       192,          3972,        40,    0.00000000
4000,        20,        0.0640,    1.13689876,    3.10000000,   30.85000000,    0.65000000,         0,        42,       630,          3958,        60,    0.00000000
4000,        20,        0.0360,    1.16831380,    2.80000000,   20.20000000,    0.75000000,         0,       136,       468,          3864,        52,    0.00000000
4000,        20,        0.1240,    1.08627181,    2.40000000,   45.95000000,    0.50000000,       301,         0,       864,          3699,        72,    0.00000000
4000,        20,        0.0130,    1.29990883,    3.00000000,    9.30000000,    0.90000000,         3,         0,       192,          3997,        40,    0.00000000
4000,        20,        0.0950,    1.11116873,    2.95000000,   34.05000000,    0.55000000,        25,         0,       817,          3975,        68,    0.00000000
